date,category,amount,description
2025-01-01,Food,220,Breakfast
2025-01-01,Transport,120,Metro Ticket
2025-01-02,Groceries,1850,Supermarket Shopping
2025-01-02,Entertainment,450,Movie Ticket
2025-01-03,Food,340,Dinner
2025-01-03,Subscriptions,799,Netflix Subscription
2025-01-04,Shopping,3200,Clothing Purchase
2025-01-04,Fuel,1800,Bike Petrol
2025-01-05,Bills,4200,Electricity Bill
2025-01-05,Gym,1200,Gym Membership
2025-01-06,Food,280,Lunch
2025-01-06,Transport,150,Cab Ride
2025-01-07,Healthcare,950,Medicine
2025-01-07,Entertainment,700,Concert Ticket
2025-01-08,Food,410,Dinner
2025-01-08,Shopping,5400,Headphones Purchase
2025-01-09,Groceries,2100,Monthly Grocery
2025-01-09,Subscriptions,499,Spotify Subscription
2025-01-10,Travel,18000,Goa Flight Booking
2025-01-10,Food,300,Lunch
2025-01-11,Transport,140,Metro Ticket
2025-01-11,Entertainment,350,Gaming Cafe
2025-01-12,Food,260,Breakfast
2025-01-12,Bills,2500,Internet Bill
2025-01-13,Shopping,12500,Laptop Purchase
2025-01-13,Fuel,2200,Car Fuel
2025-01-14,Healthcare,1800,Dental Checkup
2025-01-14,Food,380,Dinner
2025-01-15,Groceries,1600,Vegetables & Fruits
2025-01-15,Education,4500,Online Course
2025-01-16,Food,290,Lunch
2025-01-16,Transport,110,Bus Pass
2025-01-17,Entertainment,950,Bowling
2025-01-17,Subscriptions,999,Amazon Prime
2025-01-18,Bills,3800,Water + Electricity
2025-01-18,Food,420,Restaurant
2025-01-19,Shopping,2500,Shoes Purchase
2025-01-19,Travel,8000,Hotel Booking
2025-01-20,Fuel,1900,Bike Fuel
2025-01-20,Healthcare,1200,Health Checkup
2025-01-21,Food,330,Dinner
2025-01-21,Transport,170,Cab Ride
2025-01-22,Entertainment,650,Cinema
2025-01-22,Groceries,2400,Supermarket
2025-01-23,Food,280,Breakfast
2025-01-23,Education,3000,Books Purchase
2025-01-24,Shopping,22000,iPhone Purchase
2025-01-24,Bills,5200,Rent Payment
2025-01-25,Food,390,Dinner
2025-01-25,Fuel,1700,Petrol
2025-01-26,Travel,25000,Manali Trip
2025-01-26,Entertainment,1200,Theme Park
2025-01-27,Groceries,1950,Monthly Groceries
2025-01-27,Food,310,Lunch
2025-01-28,Transport,130,Metro Ticket
2025-01-28,Healthcare,2800,Hospital Visit
2025-01-29,Shopping,6800,Smartwatch Purchase
2025-01-29,Subscriptions,299,YouTube Premium
2025-01-30,Food,450,Dinner
2025-01-30,Bills,4100,Electricity Bill
2025-02-01,Food,250,Breakfast
2025-02-01,Transport,120,Metro Ticket
2025-02-02,Groceries,2200,Supermarket Shopping
2025-02-02,Entertainment,500,Movie
2025-02-03,Food,360,Dinner
2025-02-03,Shopping,4500,New Clothes
2025-02-04,Fuel,2000,Petrol
2025-02-04,Healthcare,1500,Medicine
2025-02-05,Bills,3900,Internet + Electricity
2025-02-05,Education,6500,AI Course Fee
2025-02-06,Food,280,Lunch
2025-02-06,Transport,160,Cab Ride
2025-02-07,Entertainment,850,Concert
2025-02-07,Subscriptions,799,Netflix
2025-02-08,Shopping,14500,New TV Purchase
2025-02-08,Food,430,Dinner
2025-02-09,Groceries,1750,Vegetables
2025-02-09,Fuel,1800,Bike Petrol
2025-02-10,Travel,12000,Flight Booking
2025-02-10,Entertainment,950,Resort Booking
2025-02-11,Food,320,Lunch
2025-02-11,Transport,140,Metro
2025-02-12,Healthcare,2600,Medical Test
2025-02-12,Shopping,3500,Shoes
2025-02-13,Food,370,Dinner
2025-02-13,Bills,4500,Rent
2025-02-14,Entertainment,2200,Valentine Dinner
2025-02-14,Travel,9500,Weekend Trip
2025-02-15,Groceries,2400,Monthly Grocery
2025-02-15,Food,300,Breakfast
2025-02-16,Transport,150,Cab
2025-02-16,Education,4200,Certification Exam
2025-02-17,Shopping,8900,Gaming Console
2025-02-17,Food,410,Dinner
2025-02-18,Fuel,1750,Petrol
2025-02-18,Subscriptions,499,Spotify
2025-02-19,Healthcare,3400,Eye Checkup
2025-02-19,Entertainment,800,Bowling
2025-02-20,Food,290,Lunch
2025-02-20,Bills,3800,Electricity Bill
